T1;T2;T3;T4;Tryck 1 ;Tryck 2
22.4;21.2;25.3;21.6;3.8;5
9.3;24.5;37;34.6;2.6;11
9.8;26.2;41.1;38.3;2.8;12
11.1;26;43.6;40.5;3;12.5
12.1;25.1;45.7;42.4;3.1;13
12.9;24;47.6;44;3.2;14
13.4;23.2;49.6;45.7;3.2;14.5
13.6;22.3;51.2;47.3;3.2;15
13.6;21.4;52.5;48.7;3.2;16
13.5;20.4;54;49.9;3.2;16
13.2;19.4;55;51.4;3.2;16.5
12.9;16.8;56.3;52.6;3.1;17
11.4;13.8;56.8;53.2;2.8;17
10.8;10.7;57.2;54.1;2.8;18
9.6;12.7;58;54.7;2.6;18
8.8;8.9;58.8;55.2;2.4;18
8.2;11.4;58.8;55.9;2.4;18
7;8.7;59.6;55.8;2.2;18.5
6.9;7;59.8;56.8;2.2;19
5.6;8.3;60;56.5;2;19
5.4;4.9;60.7;57.1;2;19
4.6;7.8;60.6;57.5;1.9;19
4;3.7;61.2;57.5;1.8;19
3.5;6.8;60.8;58;1.8;19
2.5;3.5;61.4;57.5;1.6;19.5
2.6;2.3;60.7;58.2;1.6;19
1.6;2.9;61.4;57.4;1.5;19
1.6;1.1;61;58.3;1.5;19
0.5;1.9;61.2;57.5;1.4;19.5
0.6;3.6;61.2;58.1;1.4;19
0.4;-0.3;61.6;58.1;1.4;19.5
0.2;3.2;61.5;57.9;1.4;19.5
0.3;3.5;61.5;58.5;1.4;19.5
0.3;-0.7;61.5;58.7;1.4;19.5
-0.6;1.8;61.8;57.5;1.3;19.5
-0.2;4;62.2;56.4;1.4;20
0.2;4.9;62.8;56.4;1.4;20
0.6;5.2;63.6;57.6;1.4;20
